Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  ,Vol Per Trade,Delv Per Trade
MTNL,EQ,05-Jun-2020,7.85,8,8.6,7.95,8.6,8.5,8.28,"17,66,219","1,46,31,921.90",11689,"10,98,655",62.2,151,94
MTNL,EQ,08-Jun-2020,8.5,9.35,9.35,9.25,9.35,9.35,9.35,"11,09,495","1,03,72,221.95",1057,"10,42,354",93.95,1050,986
MTNL,EQ,09-Jun-2020,9.35,10.25,10.25,9.3,9.65,9.45,9.79,"45,85,517","4,49,07,004.55",17286,"23,74,566",51.78,265,137
MTNL,EQ,10-Jun-2020,9.45,9.9,9.9,8.85,9.05,9,9.17,"26,43,213","2,42,44,667.00",6220,"13,03,862",49.33,425,210
MTNL,EQ,11-Jun-2020,9,9.25,9.7,8.75,9.2,9.15,9.27,"26,16,750","2,42,59,699.80",5221,"9,83,828",37.6,501,188
MTNL,EQ,12-Jun-2020,9.15,8.5,8.95,8.4,8.85,8.8,8.71,"14,15,506","1,23,22,828.05",3823,"7,62,806",53.89,370,200
MTNL,EQ,15-Jun-2020,8.8,9.1,9.45,8.9,9.25,9.35,9.19,"18,33,757","1,68,50,594.00",3913,"10,15,625",55.38,469,260
MTNL,EQ,16-Jun-2020,9.35,9.65,9.65,8.75,8.9,8.85,9.05,"12,02,653","1,08,79,196.70",5003,"8,12,164",67.53,240,162
MTNL,EQ,17-Jun-2020,8.85,9,9.15,8.65,8.85,8.95,8.88,"7,71,369","68,51,900.65",1297,"4,23,418",54.89,595,326
MTNL,EQ,18-Jun-2020,8.95,9.7,9.8,9.3,9.8,9.8,9.66,"23,26,051","2,24,72,793.75",2529,"17,31,019",74.42,920,684
MTNL,EQ,19-Jun-2020,9.8,10.3,10.3,9.6,9.95,9.85,10.01,"48,29,238","4,83,40,172.15",10391,"24,92,886",51.62,465,240
MTNL,EQ,22-Jun-2020,9.85,10.1,10.1,9.7,9.95,9.95,9.98,"22,72,971","2,26,85,720.05",4504,"12,45,397",54.79,505,277
MTNL,EQ,23-Jun-2020,9.95,10.1,10.25,9.75,9.9,9.9,9.98,"23,70,010","2,36,46,734.50",7171,"10,26,431",43.31,330,143
MTNL,EQ,24-Jun-2020,9.9,9.95,10,9,9.5,9.45,9.53,"22,58,295","2,15,16,307.75",6774,"14,38,142",63.68,333,212
MTNL,EQ,25-Jun-2020,9.45,9.3,9.55,9.25,9.45,9.4,9.4,"5,08,169","47,77,296.70",20797,"3,25,084",63.97,24,16
MTNL,EQ,26-Jun-2020,9.4,9.3,9.55,9.2,9.4,9.35,9.38,"7,69,962","72,25,659.75",14791,"4,52,072",58.71,52,31
MTNL,EQ,29-Jun-2020,9.35,9.4,9.45,9,9.15,9.15,9.17,"8,06,205","73,89,467.10",17405,"4,68,966",58.17,46,27
MTNL,EQ,30-Jun-2020,9.15,9.2,9.35,9,9.1,9.1,9.22,"7,25,001","66,87,178.10",22474,"4,36,846",60.25,32,19
MTNL,EQ,01-Jul-2020,9.1,9.05,9.3,8.9,9,9,9.03,"10,62,938","96,01,119.35",38609,"4,96,441",46.7,28,13
MTNL,EQ,02-Jul-2020,9,9.05,9.25,8.85,9.05,9,9.01,"8,72,797","78,59,651.95",30511,"5,38,696",61.72,29,18
MTNL,EQ,03-Jul-2020,9,9.1,9.15,8.95,9.05,9,9,"8,17,305","73,55,306.80",17840,"4,42,959",54.2,46,25
MTNL,EQ,06-Jul-2020,9,9.15,9.9,8.65,9.9,9.9,9.32,"44,82,620","4,17,66,430.35",35509,"21,65,241",48.3,126,61
MTNL,EQ,07-Jul-2020,9.9,9.8,10.85,9.6,10.85,10.85,10.56,"89,01,494","9,40,07,580.05",22510,"37,70,720",42.36,395,168
MTNL,EQ,08-Jul-2020,10.85,11.65,11.9,11.05,11.9,11.9,11.68,"2,32,13,282","27,10,49,341.90",28671,"67,84,353",29.23,810,237
MTNL,EQ,09-Jul-2020,11.9,12.3,12.4,11.35,11.35,11.35,11.81,"78,32,600","9,24,67,427.15",19291,"42,63,352",54.43,406,221
MTNL,EQ,10-Jul-2020,11.35,10.9,11.25,10.8,10.8,10.8,10.92,"17,61,571","1,92,39,907.70",13195,"12,33,772",70.04,134,94
MTNL,EQ,13-Jul-2020,10.8,10.8,10.8,10.3,10.3,10.3,10.37,"11,02,461","1,14,33,528.55",6960,"6,29,754",57.12,158,90
MTNL,EQ,14-Jul-2020,10.3,10,10,9.8,9.8,9.8,9.83,"13,30,320","1,30,82,762.05",2983,"7,11,685",53.5,446,239
MTNL,EQ,15-Jul-2020,9.8,9.35,10.25,9.35,10.15,10.05,9.93,"47,70,308","4,73,92,158.55",20783,"12,94,032",27.13,230,62
MTNL,EQ,16-Jul-2020,10.05,10.2,10.2,9.65,9.9,9.9,9.85,"9,45,647","93,19,326.60",23948,"4,44,722",47.03,39,19
MTNL,EQ,17-Jul-2020,9.9,10,10.35,9.8,10.35,10.3,10.13,"13,60,416","1,37,80,219.80",16171,"7,31,598",53.78,84,45
MTNL,EQ,20-Jul-2020,10.3,10.35,10.4,9.8,10.1,10.1,10.17,"13,07,126","1,32,88,618.40",12770,"4,70,718",36.01,102,37
MTNL,EQ,21-Jul-2020,10.1,10.3,10.3,9.9,10.05,10,10,"6,53,990","65,38,130.95",13739,"3,94,277",60.29,48,29
MTNL,EQ,22-Jul-2020,10,10,10.1,9.85,9.85,9.9,9.94,"6,23,216","61,96,467.55",12456,"3,34,753",53.71,50,27
MTNL,EQ,23-Jul-2020,9.9,9.75,9.8,9.5,9.7,9.65,9.65,"14,31,420","1,38,11,738.25",13226,"7,56,233",52.83,108,57
MTNL,EQ,24-Jul-2020,9.65,9.55,9.85,9.5,9.7,9.6,9.65,"4,23,389","40,86,805.35",19120,"2,38,870",56.42,22,12
MTNL,EQ,27-Jul-2020,9.6,9.6,9.75,9.2,9.3,9.25,9.37,"7,57,619","70,96,022.80",13903,"4,34,072",57.29,54,31
MTNL,EQ,28-Jul-2020,9.25,9.05,9.4,9,9.15,9.15,9.14,"6,94,175","63,45,986.20",17174,"4,12,644",59.44,40,24
MTNL,EQ,29-Jul-2020,9.15,9.3,9.5,9.1,9.3,9.3,9.3,"4,83,272","44,96,701.30",13477,"2,49,169",51.56,36,18
MTNL,EQ,30-Jul-2020,9.3,9.25,9.65,9.15,9.2,9.2,9.4,"6,27,227","58,98,218.10",8970,"3,34,567",53.34,70,37
MTNL,EQ,31-Jul-2020,9.2,9.2,9.45,9.15,9.25,9.25,9.3,"4,80,681","44,71,239.85",10448,"2,93,027",60.96,46,28
MTNL,EQ,03-Aug-2020,9.25,9.45,9.45,9.15,9.3,9.25,9.27,"3,42,837","31,78,039.60",8978,"2,17,957",63.57,38,24
MTNL,EQ,04-Aug-2020,9.25,9.3,9.35,9.15,9.2,9.15,9.2,"3,74,603","34,47,744.00",5398,"2,36,137",63.04,69,44
MTNL,EQ,05-Aug-2020,9.15,9.2,9.35,9.15,9.2,9.2,9.21,"2,42,198","22,29,462.30",8462,"1,83,358",75.71,29,22
MTNL,EQ,06-Aug-2020,9.2,9.3,9.3,9.05,9.1,9.1,9.11,"5,36,943","48,92,503.55",9750,"3,23,840",60.31,55,33
MTNL,EQ,07-Aug-2020,9.1,9.2,9.85,9,9.6,9.6,9.49,"16,41,501","1,55,78,957.45",22508,"10,02,891",61.1,73,45
MTNL,EQ,10-Aug-2020,9.6,9.65,10,9.55,9.8,9.8,9.8,"12,41,430","1,21,69,822.80",24152,"6,03,513",48.61,51,25
MTNL,EQ,11-Aug-2020,9.8,9.95,9.95,8.95,9.4,9.25,9.43,"14,89,337","1,40,37,004.75",25360,"9,43,797",63.37,59,37
MTNL,EQ,12-Aug-2020,9.25,9.5,9.5,9.3,9.4,9.45,9.42,"8,07,542","76,05,229.00",13321,"4,97,511",61.61,61,37
MTNL,EQ,13-Aug-2020,9.45,9.55,9.55,9.3,9.35,9.35,9.39,"5,02,514","47,16,533.05",11738,"3,41,051",67.87,43,29
MTNL,EQ,14-Aug-2020,9.35,9.45,9.5,9.2,9.3,9.25,9.36,"6,65,125","62,25,523.00",17538,"4,63,854",69.74,38,26
MTNL,EQ,17-Aug-2020,9.25,9.35,9.4,9.25,9.35,9.35,9.33,"4,65,423","43,41,556.65",16635,"2,75,369",59.17,28,17
MTNL,EQ,18-Aug-2020,9.35,9.4,9.45,9.2,9.35,9.25,9.32,"5,47,863","51,06,293.90",16993,"3,67,829",67.14,32,22
MTNL,EQ,19-Aug-2020,9.25,9.35,9.4,9.2,9.35,9.3,9.32,"5,29,797","49,35,306.40",7682,"3,14,408",59.34,69,41
MTNL,EQ,20-Aug-2020,9.3,9.2,9.4,9.15,9.25,9.25,9.32,"7,71,543","71,87,103.90",18804,"4,79,851",62.19,41,26
MTNL,EQ,21-Aug-2020,9.25,9.25,9.4,9.25,9.3,9.3,9.33,"6,22,970","58,11,751.55",13952,"3,77,181",60.55,45,27
MTNL,EQ,24-Aug-2020,9.3,9.3,9.4,9.2,9.25,9.25,9.26,"5,47,676","50,71,854.95",13219,"3,76,024",68.66,41,28
MTNL,EQ,25-Aug-2020,9.25,9.25,9.3,9.15,9.25,9.2,9.22,"3,13,711","28,91,867.20",11503,"2,37,956",75.85,27,21
MTNL,EQ,26-Aug-2020,9.2,9.2,9.25,9.15,9.2,9.2,9.19,"3,23,090","29,69,956.45",9377,"1,99,075",61.62,34,21
MTNL,EQ,27-Aug-2020,9.2,9.15,9.25,9.1,9.15,9.15,9.16,"6,79,697","62,24,029.75",12009,"5,16,210",75.95,57,43
MTNL,EQ,28-Aug-2020,9.15,9.2,9.8,9.1,9.4,9.45,9.48,"19,57,457","1,85,51,464.00",22479,"10,33,271",52.79,87,46
MTNL,EQ,31-Aug-2020,9.45,9.6,9.6,9.1,9.15,9.1,9.29,"9,01,007","83,66,846.60",18774,"5,97,632",66.33,48,32
