Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  ,Vol Per Trade,Delv Per Trade
MOKSH,SM,01-Apr-2021,49.75,50,50,49,49,49,49.43,36000,"17,79,450.00",11,12000,33.33,3273,1091
MOKSH,SM,05-Apr-2021,49,47.05,47.05,45,45,45,46.03,6000,"2,76,150.00",2,3000,50,3000,1500
MOKSH,SM,06-Apr-2021,45,45,46.1,45,46.1,46.1,45.55,6000,"2,73,300.00",2,6000,100,3000,3000
MOKSH,SM,08-Apr-2021,46.1,45,45,45,45,45,45,3000,"1,35,000.00",1,3000,100,3000,3000
MOKSH,SM,09-Apr-2021,45,47,50,38,45,45,46.26,60000,"27,75,750.00",18,27000,45,3333,1500
MOKSH,SM,12-Apr-2021,45,45,45,40.05,45,45,43.02,18000,"7,74,300.00",6,12000,66.67,3000,2000
MOKSH,SM,13-Apr-2021,45,45,47,45,47,47,46.9,"1,26,000","59,09,850.00",19,"1,17,000",92.86,6632,6158
MOKSH,SM,15-Apr-2021,47,47.05,47.1,46.95,47,47,47,42000,"19,74,150.00",10,33000,78.57,4200,3300
MOKSH,SM,16-Apr-2021,47,47.05,47.05,46.95,47,47,47,39000,"18,33,000.00",8,36000,92.31,4875,4500
MOKSH,SM,19-Apr-2021,47,47,50.6,47,50.6,50.6,49.06,21000,"10,30,350.00",7,15000,71.43,3000,2143
MOKSH,SM,20-Apr-2021,50.6,50,50,50,50,50,50,9000,"4,50,000.00",3,9000,100,3000,3000
MOKSH,SM,22-Apr-2021,50,50,50,50,50,50,50,6000,"3,00,000.00",1,6000,100,6000,6000
MOKSH,SM,23-Apr-2021,50,50,50.7,50,50.7,50.7,50.31,12000,"6,03,750.00",4,9000,75,3000,2250
MOKSH,SM,26-Apr-2021,50.7,50,50,50,50,50,50,6000,"3,00,000.00",2,6000,100,3000,3000
MOKSH,SM,27-Apr-2021,50,50.05,50.05,50,50,50,50.03,6000,"3,00,150.00",2,3000,50,3000,1500
MOKSH,SM,28-Apr-2021,50,50,50,50,50,50,50,3000,"1,50,000.00",1,3000,100,3000,3000
MOKSH,SM,29-Apr-2021,50,50,50,50,50,50,50,3000,"1,50,000.00",1,3000,100,3000,3000
MOKSH,SM,03-May-2021,50,47.5,47.5,47,47,47,47.25,6000,"2,83,500.00",2,6000,100,3000,3000
MOKSH,SM,06-May-2021,47,49,52,48,51.5,51.5,50.79,33000,"16,75,950.00",11,27000,81.82,3000,2455
MOKSH,SM,07-May-2021,51.5,53.95,54,51.55,51.65,51.65,52.59,27000,"14,20,050.00",9,18000,66.67,3000,2000
MOKSH,SM,10-May-2021,51.65,54,54.75,52.75,53.9,53.9,53.26,48000,"25,56,450.00",12,42000,87.5,4000,3500
MOKSH,SM,11-May-2021,53.9,56,57.5,55.95,57.5,57.45,56.35,36000,"20,28,750.00",11,24000,66.67,3273,2182
MOKSH,SM,12-May-2021,57.45,67.5,67.5,56.5,56.5,56.5,59.64,15000,"8,94,600.00",5,9000,60,3000,1800
MOKSH,SM,14-May-2021,56.5,57,58,56.1,56.1,56.1,57.09,21000,"11,98,800.00",4,18000,85.71,5250,4500
MOKSH,SM,17-May-2021,56.1,56.5,58,56.5,58,58,57.62,51000,"29,38,500.00",15,30000,58.82,3400,2000
MOKSH,SM,18-May-2021,58,59.7,63.5,59.7,63.3,63.05,61.69,75000,"46,26,900.00",25,33000,44,3000,1320
MOKSH,SM,19-May-2021,63.05,63.5,64.85,61.5,64,64.55,63.5,42000,"26,66,850.00",14,21000,50,3000,1500
MOKSH,SM,20-May-2021,64.55,66.9,67.9,65,65.25,67.35,67.02,"1,92,000","1,28,67,300.00",45,63000,32.81,4267,1400
MOKSH,EQ,21-May-2021,67.35,68.9,70,61,61,61.8,66.38,"7,16,944","4,75,92,559.00",1893,35376,4.93,379,19
MOKSH,EQ,24-May-2021,61.8,63,63.9,60.35,60.35,61,62.07,"1,74,924","1,08,58,248.05",265,"1,51,603",86.67,660,572
MOKSH,EQ,25-May-2021,61,61,63.25,60.1,61.5,61.55,61.38,98327,"60,35,331.15",531,35812,36.42,185,67
MOKSH,EQ,26-May-2021,61.55,61.95,62.35,60.05,60.65,61.45,61.74,"1,01,274","62,52,772.35",1271,31613,31.22,80,25
MOKSH,EQ,27-May-2021,61.45,61.9,62.5,60.5,60.5,61.75,61.82,47335,"29,26,160.70",200,6870,14.51,237,34
MOKSH,EQ,28-May-2021,61.75,63,63,60.5,62,61.25,60.98,63287,"38,59,092.30",221,29798,47.08,286,135
MOKSH,EQ,31-May-2021,61.25,64.95,64.95,61,64.5,64.15,63.29,"2,99,151","1,89,33,937.30",1063,"2,31,354",77.34,281,218
MOKSH,EQ,01-Jun-2021,64.15,65.1,67.5,65.1,67.3,67.1,66.84,"1,49,138","99,68,077.85",480,77132,51.72,311,161
MOKSH,EQ,02-Jun-2021,67.1,70.5,73.45,67.55,71.05,70.95,70.47,"1,38,233","97,41,501.20",615,82214,59.47,225,134
MOKSH,EQ,03-Jun-2021,70.95,74,78,73.85,78,76.65,76.11,"1,69,682","1,29,14,012.90",721,99871,58.86,235,139
MOKSH,EQ,04-Jun-2021,76.65,77,82.75,77,79.85,80.15,80.22,"2,23,901","1,79,61,144.85",1416,"1,10,778",49.48,158,78
MOKSH,EQ,07-Jun-2021,80.15,82,82.9,78.05,78.05,78.3,79.13,95146,"75,28,565.80",854,39295,41.3,111,46
MOKSH,EQ,08-Jun-2021,78.3,79.1,81.2,79,80.9,79.8,79.55,16635,"13,23,375.85",150,11146,67,111,74
MOKSH,EQ,09-Jun-2021,79.8,80.05,80.05,79,79.15,79,79.13,12590,"9,96,260.00",82,10384,82.48,154,127
MOKSH,EQ,10-Jun-2021,79,79.85,80.05,77.05,80,79.95,79.64,38485,"30,65,061.85",134,29145,75.73,287,218
MOKSH,EQ,11-Jun-2021,79.95,81,81.05,79,79,79.7,80.19,19762,"15,84,743.75",89,14542,73.59,222,163
MOKSH,EQ,14-Jun-2021,79.7,79.65,81,78,79.1,80.8,80.23,31916,"25,60,624.85",115,23571,73.85,278,205
MOKSH,EQ,15-Jun-2021,80.8,80.8,80.8,78.5,80,80,79.83,31631,"25,25,017.10",97,24454,77.31,326,252
MOKSH,EQ,16-Jun-2021,80,79.1,79.95,78.1,79.9,78.95,79.7,27209,"21,68,618.55",195,22659,83.28,140,116
MOKSH,EQ,17-Jun-2021,78.95,79.85,84,77.55,83.9,83.05,82.39,"1,72,128","1,41,81,465.60",1764,"1,10,793",64.37,98,63
MOKSH,EQ,18-Jun-2021,83.05,85.95,85.95,80.45,84,83.9,82.21,81953,"67,37,518.30",511,71392,87.11,160,140
MOKSH,EQ,21-Jun-2021,83.9,80.5,85.15,80.5,83.3,83.1,83,27958,"23,20,435.65",190,26032,93.11,147,137
MOKSH,EQ,22-Jun-2021,83.1,84.95,84.95,81.25,82.8,82.75,82.91,"1,41,601","1,17,40,070.25",408,"1,36,744",96.57,347,335
MOKSH,EQ,23-Jun-2021,82.75,84.5,84.5,80.25,81,82.85,82.87,"2,35,405","1,95,07,157.45",636,"1,14,411",48.6,370,180
MOKSH,EQ,24-Jun-2021,82.85,83.6,87,81.1,86.95,85.4,84.65,"3,81,512","3,22,93,704.35",1104,"3,37,343",88.42,346,306
MOKSH,EQ,25-Jun-2021,85.4,89,93.6,77.45,85.5,85.6,84.36,"5,41,223","4,56,55,953.60",1968,"3,48,794",64.45,275,177
MOKSH,EQ,28-Jun-2021,85.6,85.75,92,85.5,91.95,90.85,89.65,"7,18,308","6,43,98,502.40",1178,"6,68,383",93.05,610,567
MOKSH,EQ,29-Jun-2021,90.85,96.7,99,92.35,96,96.05,95.82,"5,80,877","5,56,58,552.70",892,"5,02,344",86.48,651,563
MOKSH,EQ,30-Jun-2021,96.05,99.75,99.75,96.45,97.5,97,97.18,"1,62,484","1,57,90,697.75",896,"1,54,122",94.85,181,172
MOKSH,EQ,01-Jul-2021,97,99.35,99.35,94.05,97,97.2,96.31,"2,22,217","2,14,02,740.90",611,"1,69,701",76.37,364,278
MOKSH,EQ,02-Jul-2021,97.2,97,99.25,96.75,97.35,97.45,98.42,97113,"95,57,694.25",602,59887,61.67,161,99
MOKSH,EQ,05-Jul-2021,97.45,98.45,102,97.6,102,100.8,99.73,"1,58,466","1,58,04,419.85",1099,98330,62.05,144,89
MOKSH,EQ,06-Jul-2021,100.8,102,120,101.95,116.5,115.5,108.9,"3,19,903","3,48,36,967.75",2293,"1,55,846",48.72,140,68
MOKSH,EQ,07-Jul-2021,115.5,122,123.85,111.85,115.25,115.2,116.21,"2,49,904","2,90,40,877.05",3615,"1,09,887",43.97,69,30
MOKSH,EQ,08-Jul-2021,115.2,117.5,118.5,115,118,117.65,117.48,"1,47,603","1,73,41,022.25",549,"1,19,233",80.78,269,217
MOKSH,EQ,09-Jul-2021,117.65,119.85,123.3,115.1,119,118.4,118.82,"2,05,603","2,44,28,986.30",806,"1,05,585",51.35,255,131
MOKSH,EQ,12-Jul-2021,118.4,118.05,122.65,117.3,120.9,120.35,119.58,"4,02,429","4,81,21,282.80",681,"3,16,221",78.58,591,464
